ticker,yfExchange,convertedExchangePYPL,BA,
GBF,VI,
GEDY,VI,
TEF,VI,
QGEN,VI,
SY1,VI,
COST,VI,
DOW,VI,
PUM,VI,
AAL,VI,
TRV,VI,
MDLZ,VI,
DELL,VI,
PTON,VI,
CON,VI,
IOS,VI,
ADYE,VI,
BPE,VI,
VAR1,VI,
LRCX,VI,
BAH,VI,
SLR,VI,
FBK,VI,
BVI,VI,
DEMA,VI,
STA2,VI,
BIO3,VI,
BTS,VI,
OTV,VI,
ADPA,VI,
INH,VI,
RI,VI,
BESI,VI,
LUNB,VI,
MLP,VI,
RHK,VI,
AMPF,VI,
KPN,VI,
GIL,VI,
CAI,VI,
MFEB,VI,
PC,VI,
UMG,VI,
ARGX,VI,
WXF,VI,
ADV,VI,
SYAB,VI,
SBMO,VI,
VIS,VI,
FTI,VI,
EK7,VI,
BFSA,VI,
GMAB,VI,
RAT,VI,
YUM,VI,
ADJ,VI,
EDF,VI,
TKA,VI,
NTES,VI,
TIT,VI,
OBS,VI,
ADKO,VI,
AKZO,VI,
IIA,VI,
ALSO,VI,
KTCG,VI,
S92,VI,
NRE1,VI,
AD,VI,
YELP,VI,
IVG,VI,
NDA,VI,
CAPG,VI,
2B5,VI,
ED,VI,
WPB,VI,
GAGV,VI,
VVPS,VI,
SWUT,VI,
UL,VI,
AMAG,VI,
EVT,VI,
JUVE,VI,
LUNA,VI,
PCG,VI,
GRF,VI,
OTS,VI,
DWS,VI,
PHM,VI,
MAP,VI,
GNSN,VI,
AMP,VI,
BMWG,VI,
ROS,VI,
ULVR,VI,
PAH3,VI,
8TRA,VI,
FGR,VI,
ASMN,VI,
MDG1,VI,
KER,VI,
JOYY,VI,
GFGT,VI,
TOM2,VI,
ACA,VI,
HEN,VI,
VTWR,VI,
FIE,VI,
ORP,VI,
LEO,VI,
DGEN,VI,
RMS,VI,
BVB,VI,
MDG1,VI,
LGHT,VI,
FIE,VI,
KER,VI,
ACA,VI,
AGN,VI,
GMM,VI,
VTWR,VI,
TOM2,VI,
ADL,VI,
LEO,VI,
FDJ,VI,
MEL,VI,
BAMI,VI,
NOKI,VI,
ABN,VI,
SHL,VI,
VTSC,VI,
PRX,VI,
LTH,VI,
BKS,VI,
MU,VI,
MRSA,VI,
PPG,VI,
UN01,VI,
BAVA,VI,
GFC,VI,
WIOA,VI,
SANO,VI,
WCMK,VI,
THAL,VI,
TRYG,VI,
DEQ,VI,
WOL,VI,
PNCF,VI,
O2D,VI,
GWW,VI,
ACKB,VI,
BYW6,VI,
BHD,VI,
MMM,VI,
STMI,VI,
BE,VI,
TJXC,VI,
VEEV,VI,
LUV,VI,
HPE,VI,
DVN,VI,
IBM,VI,
KEYS,VI,
META,VI,
XCEL,VI,
CRM,VI,
GFT,VI,
MUV,VI,
MRCK,VI,
SFER,VI,
FANU,VI,
RAK,VI,
BIIB,VI,
VLA,VI,
TRN,VI,
HNR1,VI,
IBE,VI,
AMAT,VI,
OKE,VI,
KHC,VI,
KGX,VI,
